"CultureName","Name","FormatString"
"en-FM","MonthDayPattern","d MMMM"
"en-FM","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-FM","ShortDatePattern","dd/MM/yyyy"
"en-FM","ShortTimePattern","h:mm tt"
"en-FM","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-FM","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-FM","YearMonthPattern","MMMM yyyy"
"en-GB","FullDateTimePattern","dddd, d MMMM yyyy HH:mm:ss"
"en-GB","LongDatePattern","dddd, d MMMM yyyy"
"en-GB","LongTimePattern","HH:mm:ss"
"en-GB","MonthDayPattern","d MMMM"
"en-GB","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-GB","ShortDatePattern","dd/MM/yyyy"
"en-GB","ShortTimePattern","HH:mm"
"en-GB","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-GB","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-GB","YearMonthPattern","MMMM yyyy"
"en-GD","FullDateTimePattern","dddd, d MMMM yyyy h:mm:ss tt"
"en-GD","LongDatePattern","dddd, d MMMM yyyy"
"en-GD","LongTimePattern","h:mm:ss tt"
"en-GD","MonthDayPattern","d MMMM"
"en-GD","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-GD","ShortDatePattern","dd/MM/yyyy"
"en-GD","ShortTimePattern","h:mm tt"
"en-GD","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-GD","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-GD","YearMonthPattern","MMMM yyyy"
"en-GG","FullDateTimePattern","dddd, d MMMM yyyy HH:mm:ss"
"en-GG","LongDatePattern","dddd, d MMMM yyyy"
"en-GG","LongTimePattern","HH:mm:ss"
"en-GG","MonthDayPattern","d MMMM"
"en-GG","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-GG","ShortDatePattern","dd/MM/yyyy"
"en-GG","ShortTimePattern","HH:mm"
"en-GG","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-GG","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-GG","YearMonthPattern","MMMM yyyy"
"en-GH","FullDateTimePattern","dddd, d MMMM yyyy h:mm:ss tt"
"en-GH","LongDatePattern","dddd, d MMMM yyyy"
"en-GH","LongTimePattern","h:mm:ss tt"
"en-GH","MonthDayPattern","d MMMM"
"en-GH","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-GH","ShortDatePattern","dd/MM/yyyy"
"en-GH","ShortTimePattern","h:mm tt"
"en-GH","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-GH","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-GH","YearMonthPattern","MMMM yyyy"
"en-GI","FullDateTimePattern","dddd, d MMMM yyyy HH:mm:ss"
"en-GI","LongDatePattern","dddd, d MMMM yyyy"
"en-GI","LongTimePattern","HH:mm:ss"
"en-GI","MonthDayPattern","d MMMM"
"en-GI","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-GI","ShortDatePattern","dd/MM/yyyy"
"en-GI","ShortTimePattern","HH:mm"
"en-GI","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-GI","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-GI","YearMonthPattern","MMMM yyyy"
"en-GM","FullDateTimePattern","dddd, d MMMM yyyy h:mm:ss tt"
"en-GM","LongDatePattern","dddd, d MMMM yyyy"
"en-GM","LongTimePattern","h:mm:ss tt"
"en-GM","MonthDayPattern","d MMMM"
"en-GM","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-GM","ShortDatePattern","dd/MM/yyyy"
"en-GM","ShortTimePattern","h:mm tt"
"en-GM","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-GM","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-GM","YearMonthPattern","MMMM yyyy"
"en-GU","FullDateTimePattern","dddd, MMMM d, yyyy h:mm:ss tt"
"en-GU","LongDatePattern","dddd, MMMM d, yyyy"
"en-GU","LongTimePattern","h:mm:ss tt"
"en-GU","MonthDayPattern","MMMM d"
"en-GU","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-GU","ShortDatePattern","M/d/yyyy"
"en-GU","ShortTimePattern","h:mm tt"
"en-GU","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-GU","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-GU","YearMonthPattern","MMMM yyyy"
"en-GY","FullDateTimePattern","dddd, d MMMM yyyy h:mm:ss tt"
"en-GY","LongDatePattern","dddd, d MMMM yyyy"
"en-GY","LongTimePattern","h:mm:ss tt"
"en-GY","MonthDayPattern","d MMMM"
"en-GY","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-GY","ShortDatePattern","dd/MM/yyyy"
"en-GY","ShortTimePattern","h:mm tt"
"en-GY","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-GY","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-GY","YearMonthPattern","MMMM yyyy"
"en-HK","FullDateTimePattern","dddd, d MMMM yyyy h:mm:ss tt"
"en-HK","LongDatePattern","dddd, d MMMM yyyy"
"en-HK","LongTimePattern","h:mm:ss tt"
"en-HK","MonthDayPattern","d MMMM"
"en-HK","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-HK","ShortDatePattern","d/M/yyyy"
"en-HK","ShortTimePattern","h:mm tt"
"en-HK","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-HK","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-HK","YearMonthPattern","MMMM yyyy"
"en-IE","FullDateTimePattern","dddd d MMMM yyyy HH:mm:ss"
"en-IE","LongDatePattern","dddd d MMMM yyyy"
"en-IE","LongTimePattern","HH:mm:ss"
"en-IE","MonthDayPattern","d MMMM"
"en-IE","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-IE","ShortDatePattern","dd/MM/yyyy"
"en-IE","ShortTimePattern","HH:mm"
"en-IE","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-IE","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-IE","YearMonthPattern","MMMM yyyy"
"en-IL","FullDateTimePattern","dddd, d MMMM yyyy H:mm:ss"
"en-IL","LongDatePattern","dddd, d MMMM yyyy"
"en-IL","LongTimePattern","H:mm:ss"
"en-IL","MonthDayPattern","d MMMM"
"en-IL","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-IL","ShortDatePattern","dd/MM/yyyy"
"en-IL","ShortTimePattern","H:mm"
"en-IL","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-IL","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-IL","YearMonthPattern","MMMM yyyy"
"en-IM","FullDateTimePattern","dddd, d MMMM yyyy HH:mm:ss"
"en-IM","LongDatePattern","dddd, d MMMM yyyy"
"en-IM","LongTimePattern","HH:mm:ss"
"en-IM","MonthDayPattern","d MMMM"
"en-IM","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-IM","ShortDatePattern","dd/MM/yyyy"
"en-IM","ShortTimePattern","HH:mm"
"en-IM","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-IM","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-IM","YearMonthPattern","MMMM yyyy"
"en-IN","FullDateTimePattern","dddd, d MMMM, yyyy h:mm:ss tt"
"en-IN","LongDatePattern","dddd, d MMMM, yyyy"
"en-IN","LongTimePattern","h:mm:ss tt"
"en-IN","MonthDayPattern","d MMMM"
"en-IN","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-IN","ShortDatePattern","dd/MM/yyyy"
"en-IN","ShortTimePattern","h:mm tt"
"en-IN","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-IN","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-IN","YearMonthPattern","MMMM yyyy"
"en-IO","FullDateTimePattern","dddd, d MMMM yyyy HH:mm:ss"
"en-IO","LongDatePattern","dddd, d MMMM yyyy"
"en-IO","LongTimePattern","HH:mm:ss"
"en-IO","MonthDayPattern","d MMMM"
"en-IO","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-IO","ShortDatePattern","dd/MM/yyyy"
"en-IO","ShortTimePattern","HH:mm"
"en-IO","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-IO","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-IO","YearMonthPattern","MMMM yyyy"
"en-JE","FullDateTimePattern","dddd, d MMMM yyyy HH:mm:ss"
"en-JE","LongDatePattern","dddd, d MMMM yyyy"
"en-JE","LongTimePattern","HH:mm:ss"
"en-JE","MonthDayPattern","d MMMM"
"en-JE","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-JE","ShortDatePattern","dd/MM/yyyy"
"en-JE","ShortTimePattern","HH:mm"
"en-JE","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-JE","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-JE","YearMonthPattern","MMMM yyyy"
"en-JM","FullDateTimePattern","dddd, d MMMM yyyy h:mm:ss tt"
"en-JM","LongDatePattern","dddd, d MMMM yyyy"
"en-JM","LongTimePattern","h:mm:ss tt"
"en-JM","MonthDayPattern","d MMMM"
"en-JM","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-JM","ShortDatePattern","dd/MM/yyyy"
"en-JM","ShortTimePattern","h:mm tt"
"en-JM","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-JM","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-JM","YearMonthPattern","MMMM yyyy"
"en-KE","FullDateTimePattern","dddd, d MMMM yyyy HH:mm:ss"
"en-KE","LongDatePattern","dddd, d MMMM yyyy"
"en-KE","LongTimePattern","HH:mm:ss"
"en-KE","MonthDayPattern","d MMMM"
"en-KE","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-KE","ShortDatePattern","dd/MM/yyyy"
"en-KE","ShortTimePattern","HH:mm"
"en-KE","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-KE","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-KE","YearMonthPattern","MMMM yyyy"
"en-KI","FullDateTimePattern","dddd, d MMMM yyyy h:mm:ss tt"
"en-KI","LongDatePattern","dddd, d MMMM yyyy"
"en-KI","LongTimePattern","h:mm:ss tt"
"en-KI","MonthDayPattern","d MMMM"
"en-KI","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-KI","ShortDatePattern","dd/MM/yyyy"
"en-KI","ShortTimePattern","h:mm tt"
"en-KI","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-KI","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-KI","YearMonthPattern","MMMM yyyy"
"en-KN","FullDateTimePattern","dddd, d MMMM yyyy h:mm:ss tt"
"en-KN","LongDatePattern","dddd, d MMMM yyyy"
"en-KN","LongTimePattern","h:mm:ss tt"
"en-KN","MonthDayPattern","d MMMM"
"en-KN","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-KN","ShortDatePattern","dd/MM/yyyy"
"en-KN","ShortTimePattern","h:mm tt"
"en-KN","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-KN","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-KN","YearMonthPattern","MMMM yyyy"
"en-KY","FullDateTimePattern","dddd, d MMMM yyyy h:mm:ss tt"
"en-KY","LongDatePattern","dddd, d MMMM yyyy"
"en-KY","LongTimePattern","h:mm:ss tt"
"en-KY","MonthDayPattern","d MMMM"
"en-KY","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-KY","ShortDatePattern","dd/MM/yyyy"
"en-KY","ShortTimePattern","h:mm tt"
"en-KY","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-KY","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-KY","YearMonthPattern","MMMM yyyy"
"en-LC","FullDateTimePattern","dddd, d MMMM yyyy h:mm:ss tt"
"en-LC","LongDatePattern","dddd, d MMMM yyyy"
"en-LC","LongTimePattern","h:mm:ss tt"
"en-LC","MonthDayPattern","d MMMM"
"en-LC","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-LC","ShortDatePattern","dd/MM/yyyy"
"en-LC","ShortTimePattern","h:mm tt"
"en-LC","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-LC","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-LC","YearMonthPattern","MMMM yyyy"
"en-LR","FullDateTimePattern","dddd, d MMMM yyyy h:mm:ss tt"
"en-LR","LongDatePattern","dddd, d MMMM yyyy"
"en-LR","LongTimePattern","h:mm:ss tt"
"en-LR","MonthDayPattern","d MMMM"
"en-LR","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-LR","ShortDatePattern","dd/MM/yyyy"
"en-LR","ShortTimePattern","h:mm tt"
"en-LR","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-LR","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-LR","YearMonthPattern","MMMM yyyy"
"en-LS","FullDateTimePattern","dddd, d MMMM yyyy h:mm:ss tt"
"en-LS","LongDatePattern","dddd, d MMMM yyyy"
"en-LS","LongTimePattern","h:mm:ss tt"
"en-LS","MonthDayPattern","d MMMM"
"en-LS","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-LS","ShortDatePattern","dd/MM/yyyy"
"en-LS","ShortTimePattern","h:mm tt"
"en-LS","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-LS","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-LS","YearMonthPattern","MMMM yyyy"
"en-MG","FullDateTimePattern","dddd, d MMMM yyyy HH:mm:ss"
"en-MG","LongDatePattern","dddd, d MMMM yyyy"
"en-MG","LongTimePattern","HH:mm:ss"
"en-MG","MonthDayPattern","d MMMM"
"en-MG","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-MG","ShortDatePattern","dd/MM/yyyy"
"en-MG","ShortTimePattern","HH:mm"
"en-MG","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-MG","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-MG","YearMonthPattern","MMMM yyyy"
"en-MH","FullDateTimePattern","dddd, MMMM d, yyyy h:mm:ss tt"
"en-MH","LongDatePattern","dddd, MMMM d, yyyy"
"en-MH","LongTimePattern","h:mm:ss tt"
"en-MH","MonthDayPattern","MMMM d"
"en-MH","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-MH","ShortDatePattern","M/d/yyyy"
"en-MH","ShortTimePattern","h:mm tt"
"en-MH","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-MH","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-MH","YearMonthPattern","MMMM yyyy"
"en-MO","FullDateTimePattern","dddd, d MMMM yyyy h:mm:ss tt"
"en-MO","LongDatePattern","dddd, d MMMM yyyy"
"en-MO","LongTimePattern","h:mm:ss tt"
"en-MO","MonthDayPattern","d MMMM"
"en-MO","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-MO","ShortDatePattern","dd/MM/yyyy"
"en-MO","ShortTimePattern","h:mm tt"
"en-MO","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-MO","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-MO","YearMonthPattern","MMMM yyyy"
"en-MP","FullDateTimePattern","dddd, MMMM d, yyyy h:mm:ss tt"
"en-MP","LongDatePattern","dddd, MMMM d, yyyy"
"en-MP","LongTimePattern","h:mm:ss tt"
"en-MP","MonthDayPattern","MMMM d"
"en-MP","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-MP","ShortDatePattern","M/d/yyyy"
"en-MP","ShortTimePattern","h:mm tt"
"en-MP","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-MP","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-MP","YearMonthPattern","MMMM yyyy"
"en-MS","FullDateTimePattern","dddd, d MMMM yyyy HH:mm:ss"
"en-MS","LongDatePattern","dddd, d MMMM yyyy"
"en-MS","LongTimePattern","HH:mm:ss"
"en-MS","MonthDayPattern","d MMMM"
"en-MS","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-MS","ShortDatePattern","dd/MM/yyyy"
"en-MS","ShortTimePattern","HH:mm"
"en-MS","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-MS","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-MS","YearMonthPattern","MMMM yyyy"
"en-MT","FullDateTimePattern","dddd, d MMMM yyyy HH:mm:ss"
"en-MT","LongDatePattern","dddd, d MMMM yyyy"
"en-MT","LongTimePattern","HH:mm:ss"
"en-MT","MonthDayPattern","d MMMM"
"en-MT","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-MT","ShortDatePattern","dd/MM/yyyy"
"en-MT","ShortTimePattern","HH:mm"
"en-MT","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-MT","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-MT","YearMonthPattern","MMMM yyyy"
"en-MU","FullDateTimePattern","dddd, d MMMM yyyy HH:mm:ss"
"en-MU","LongDatePattern","dddd, d MMMM yyyy"
"en-MU","LongTimePattern","HH:mm:ss"
"en-MU","MonthDayPattern","d MMMM"
"en-MU","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-MU","ShortDatePattern","dd/MM/yyyy"
"en-MU","ShortTimePattern","HH:mm"
"en-MU","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-MU","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-MU","YearMonthPattern","MMMM yyyy"
"en-MW","FullDateTimePattern","dddd, d MMMM yyyy h:mm:ss tt"
"en-MW","LongDatePattern","dddd, d MMMM yyyy"
"en-MW","LongTimePattern","h:mm:ss tt"
"en-MW","MonthDayPattern","d MMMM"
"en-MW","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-MW","ShortDatePattern","dd/MM/yyyy"
"en-MW","ShortTimePattern","h:mm tt"
"en-MW","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-MW","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-MW","YearMonthPattern","MMMM yyyy"
"en-MY","FullDateTimePattern","dddd, d MMMM yyyy h:mm:ss tt"
"en-MY","LongDatePattern","dddd, d MMMM yyyy"
"en-MY","LongTimePattern","h:mm:ss tt"
"en-MY","MonthDayPattern","d MMMM"
"en-MY","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-MY","ShortDatePattern","dd/MM/yyyy"
"en-MY","ShortTimePattern","h:mm tt"
"en-MY","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-MY","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-MY","YearMonthPattern","MMMM yyyy"
"en-NA","FullDateTimePattern","dddd, d MMMM yyyy h:mm:ss tt"
"en-NA","LongDatePattern","dddd, d MMMM yyyy"
"en-NA","LongTimePattern","h:mm:ss tt"
"en-NA","MonthDayPattern","d MMMM"
"en-NA","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-NA","ShortDatePattern","dd/MM/yyyy"
"en-NA","ShortTimePattern","h:mm tt"
"en-NA","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-NA","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-NA","YearMonthPattern","MMMM yyyy"
"en-NF","FullDateTimePattern","dddd, d MMMM yyyy HH:mm:ss"
"en-NF","LongDatePattern","dddd, d MMMM yyyy"
"en-NF","LongTimePattern","HH:mm:ss"
"en-NF","MonthDayPattern","d MMMM"
"en-NF","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-NF","ShortDatePattern","dd/MM/yyyy"
"en-NF","ShortTimePattern","HH:mm"
"en-NF","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-NF","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-NF","YearMonthPattern","MMMM yyyy"
"en-NG","FullDateTimePattern","dddd, d MMMM yyyy HH:mm:ss"
"en-NG","LongDatePattern","dddd, d MMMM yyyy"
"en-NG","LongTimePattern","HH:mm:ss"
"en-NG","MonthDayPattern","d MMMM"
"en-NG","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-NG","ShortDatePattern","dd/MM/yyyy"
"en-NG","ShortTimePattern","HH:mm"
"en-NG","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-NG","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-NG","YearMonthPattern","MMMM yyyy"
"en-NL","FullDateTimePattern","dddd, d MMMM yyyy HH:mm:ss"
"en-NL","LongDatePattern","dddd, d MMMM yyyy"
"en-NL","LongTimePattern","HH:mm:ss"
"en-NL","MonthDayPattern","d MMMM"
"en-NL","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-NL","ShortDatePattern","dd/MM/yyyy"
"en-NL","ShortTimePattern","HH:mm"
"en-NL","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-NL","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-NL","YearMonthPattern","MMMM yyyy"
"en-NR","FullDateTimePattern","dddd, d MMMM yyyy HH:mm:ss"
"en-NR","LongDatePattern","dddd, d MMMM yyyy"
"en-NR","LongTimePattern","HH:mm:ss"
"en-NR","MonthDayPattern","d MMMM"
"en-NR","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-NR","ShortDatePattern","dd/MM/yyyy"
"en-NR","ShortTimePattern","HH:mm"
"en-NR","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-NR","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-NR","YearMonthPattern","MMMM yyyy"
"en-NU","FullDateTimePattern","dddd, d MMMM yyyy HH:mm:ss"
"en-NU","LongDatePattern","dddd, d MMMM yyyy"
"en-NU","LongTimePattern","HH:mm:ss"
"en-NU","MonthDayPattern","d MMMM"
"en-NU","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-NU","ShortDatePattern","dd/MM/yyyy"
"en-NU","ShortTimePattern","HH:mm"
"en-NU","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-NU","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-NU","YearMonthPattern","MMMM yyyy"
"en-NZ","FullDateTimePattern","dddd, d MMMM yyyy h:mm:ss tt"
"en-NZ","LongDatePattern","dddd, d MMMM yyyy"
"en-NZ","LongTimePattern","h:mm:ss tt"
"en-NZ","MonthDayPattern","d MMMM"
"en-NZ","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-NZ","ShortDatePattern","d/MM/yyyy"
"en-NZ","ShortTimePattern","h:mm tt"
"en-NZ","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-NZ","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-NZ","YearMonthPattern","MMMM yyyy"
"en-PG","FullDateTimePattern","dddd, d MMMM yyyy h:mm:ss tt"
"en-PG","LongDatePattern","dddd, d MMMM yyyy"
"en-PG","LongTimePattern","h:mm:ss tt"
"en-PG","MonthDayPattern","d MMMM"
"en-PG","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-PG","ShortDatePattern","dd/MM/yyyy"
"en-PG","ShortTimePattern","h:mm tt"
"en-PG","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-PG","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-PG","YearMonthPattern","MMMM yyyy"
"en-PH","FullDateTimePattern","dddd, d MMMM yyyy h:mm:ss tt"
"en-PH","LongDatePattern","dddd, d MMMM yyyy"
"en-PH","LongTimePattern","h:mm:ss tt"
"en-PH","MonthDayPattern","d MMMM"
"en-PH","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"en-PH","ShortDatePattern","dd/MM/yyyy"
"en-PH","ShortTimePattern","h:mm tt"
"en-PH","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"en-PH","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"en-PH","YearMonthPattern","MMMM yyyy"
"en-PK","FullDateTimePattern","dddd, d MMMM yyyy h:mm:ss tt"
